region,indout
AT,397607771270.7462
AU,1232878814663.3462
BE,476257857780.85406
BG,60674916854.74681
BR,1650554575823.318
CA,1555602312995.3794
CH,653350130650.3275
CN,12815958554750.98
CY,21943100233.335625
CZ,223921844183.81964
DE,3448971467921.2734
DK,313386153498.32184
EE,28119844738.75838
ES,1244804664420.4036
FI,240907280768.49402
FR,2425652768240.1206
GB,2524738492861.571
GR,183409320714.60632
HR,53966222317.69128
HU,146019689925.93872
ID,999724053783.318
IE,356138287813.82794
IN,2582923046704.4604
IT,1789706249030.846
JP,4540648992260.271
KR,1471048695049.0488
LT,48796258865.37631
LU,63545437442.05111
LV,30462753633.240055
MT,13290769797.675577
MX,1122323278445.0435
NL,810345117105.7865
NO,360320640003.7112
PL,532479067001.9911
PT,213296190328.58963
RO,223381839070.2669
RU,1519243271536.011
SE,474215157606.0734
SI,48425646305.03979
SK,94025267881.50795
TR,680153916469.098
TW,491105149416.9112
US,19145355962817.38
WA,3450302736096.464
WE,346955982583.2679
WF,1578465672065.8328
WL,2108426413664.5166
WM,3017200807195.0225
ZA,313917812504.1043
